Date,Time,Visitor Team,VisitorPts,Home Team,HomePts,Score Type,OT,Attend,Notes,HomeWin,HomeNumWins,VisitorNumWins,HomeWins2020,VisitorWins2020,HomeWinsBeforeAll,VisitorWinsBeforeAll
"Wed, Jan 6, 2021",7:00p,Houston Rockets,107,Indiana Pacers,114,Box Score,,0,,1,49,56,45,44,32,34
"Wed, Jan 6, 2021",7:00p,Cleveland Cavaliers,94,Orlando Magic,105,Box Score,,"2,948",,1,50,56,33,19,24,14
"Wed, Jan 6, 2021",7:00p,Washington Wizards,136,Philadelphia 76ers,141,Box Score,,0,,1,51,56,43,25,34,20
"Wed, Jan 6, 2021",7:30p,Charlotte Hornets,102,Atlanta Hawks,94,Box Score,,0,,0,52,56,20,23,15,18
"Wed, Jan 6, 2021",7:30p,Boston Celtics,107,Miami Heat,105,Box Score,,0,,0,52,57,44,48,35,38
"Wed, Jan 6, 2021",7:30p,Utah Jazz,100,New York Knicks,112,Box Score,,0,,1,52,58,21,44,17,36
"Wed, Jan 6, 2021",8:00p,Detroit Pistons,115,Milwaukee Bucks,130,Box Score,,0,,1,53,58,56,20,46,19
"Wed, Jan 6, 2021",8:00p,Oklahoma City Thunder,111,New Orleans Pelicans,110,Box Score,,750,,0,54,58,30,44,23,33
"Wed, Jan 6, 2021",9:00p,Toronto Raptors,115,Phoenix Suns,123,Box Score,,0,,1,54,59,34,53,22,40
"Wed, Jan 6, 2021",10:00p,Los Angeles Clippers,108,Golden State Warriors,101,Box Score,,0,,0,55,59,15,49,12,37
"Wed, Jan 6, 2021",10:00p,Chicago Bulls,124,Sacramento Kings,128,Box Score,,0,,1,55,60,31,22,21,19
"Thu, Jan 7, 2021",7:30p,Philadelphia 76ers,109,Brooklyn Nets,122,Box Score,,0,,1,56,60,35,43,25,34
"Thu, Jan 7, 2021",8:00p,Cleveland Cavaliers,94,Memphis Grizzlies,90,Box Score,,0,,0,57,60,34,19,28,14
"Thu, Jan 7, 2021",10:00p,Dallas Mavericks,124,Denver Nuggets,117,Box Score,OT,0,,0,57,61,46,43,38,33
"Thu, Jan 7, 2021",10:00p,San Antonio Spurs,118,Los Angeles Lakers,109,Box Score,,0,,0,57,62,52,32,41,23
"Thu, Jan 7, 2021",10:00p,Minnesota Timberwolves,117,Portland Trail Blazers,135,Box Score,,0,,1,57,63,35,19,25,16
"Fri, Jan 8, 2021",7:00p,Phoenix Suns,105,Detroit Pistons,110,Box Score,OT,0,,1,58,63,20,34,19,22
"Fri, Jan 8, 2021",7:30p,Washington Wizards,107,Boston Celtics,116,Box Score,,0,,1,59,63,48,25,38,20
"Fri, Jan 8, 2021",7:30p,Charlotte Hornets,118,New Orleans Pelicans,110,Box Score,,750,,0,60,63,30,23,23,18
"Fri, Jan 8, 2021",7:30p,Oklahoma City Thunder,101,New York Knicks,89,Box Score,,0,,0,60,64,21,44,17,33
"Fri, Jan 8, 2021",8:00p,Orlando Magic,90,Houston Rockets,132,Box Score,,"3,039",,1,60,65,44,33,34,24
"Fri, Jan 8, 2021",8:00p,Brooklyn Nets,110,Memphis Grizzlies,115,Box Score,,0,,1,61,65,34,35,28,25
"Fri, Jan 8, 2021",8:00p,Utah Jazz,131,Milwaukee Bucks,118,Box Score,,0,,0,62,65,56,44,46,36
"Fri, Jan 8, 2021",10:00p,Los Angeles Clippers,105,Golden State Warriors,115,Box Score,,0,,1,62,66,15,49,12,37
"Fri, Jan 8, 2021",10:00p,Chicago Bulls,115,Los Angeles Lakers,117,Box Score,,0,,1,63,66,52,22,41,19
"Fri, Jan 8, 2021",10:00p,Toronto Raptors,144,Sacramento Kings,123,Box Score,,0,,0,64,66,31,53,21,40
"Sat, Jan 9, 2021",3:00p,Denver Nuggets,115,Philadelphia 76ers,103,Box Score,,0,,0,64,67,43,46,34,38
"Sat, Jan 9, 2021",7:00p,Atlanta Hawks,105,Charlotte Hornets,113,Box Score,,0,,1,64,68,23,20,18,15
"Sat, Jan 9, 2021",7:00p,Phoenix Suns,125,Indiana Pacers,117,Box Score,,0,,0,65,68,45,34,32,22
"Sat, Jan 9, 2021",7:00p,Miami Heat,128,Washington Wizards,124,Box Score,,0,,0,65,69,25,44,20,35
"Sat, Jan 9, 2021",8:00p,Cleveland Cavaliers,90,Milwaukee Bucks,100,Box Score,,0,,1,65,70,56,19,46,14
"Sat, Jan 9, 2021",8:00p,San Antonio Spurs,125,Minnesota Timberwolves,122,Box Score,OT,0,,0,66,70,19,32,16,23
"Sat, Jan 9, 2021",8:30p,Orlando Magic,98,Dallas Mavericks,112,Box Score,,0,,1,66,71,43,33,33,24
"Sat, Jan 9, 2021",10:00p,Portland Trail Blazers,125,Sacramento Kings,99,Box Score,,0,,0,67,71,31,35,21,25
"Sun, Jan 10, 2021",3:00p,Utah Jazz,96,Detroit Pistons,86,Box Score,,0,,0,67,72,20,44,19,36
"Sun, Jan 10, 2021",4:00p,Chicago Bulls,127,Los Angeles Clippers,130,Box Score,,0,,1,67,73,49,22,37,19
"Sun, Jan 10, 2021",6:00p,Oklahoma City Thunder,129,Brooklyn Nets,116,Box Score,,0,,0,68,73,35,44,25,33
"Sun, Jan 10, 2021",6:00p,Denver Nuggets,114,New York Knicks,89,Box Score,,0,,0,68,74,21,46,17,38
"Sun, Jan 10, 2021",7:00p,Los Angeles Lakers,120,Houston Rockets,102,Box Score,,"3,327",,0,68,75,44,52,34,41
"Sun, Jan 10, 2021",8:00p,San Antonio Spurs,88,Minnesota Timberwolves,96,Box Score,,0,,1,68,76,19,32,16,23
"Sun, Jan 10, 2021",8:30p,Toronto Raptors,105,Golden State Warriors,106,Box Score,,0,,1,69,76,15,53,12,40
"Mon, Jan 11, 2021",7:00p,New York Knicks,88,Charlotte Hornets,109,Box Score,,0,,1,70,76,23,21,18,17
"Mon, Jan 11, 2021",7:00p,Memphis Grizzlies,101,Cleveland Cavaliers,91,Box Score,,"1,944",,0,71,76,19,34,14,28
"Mon, Jan 11, 2021",7:00p,Milwaukee Bucks,121,Orlando Magic,99,Box Score,,"3,248",,0,71,77,33,56,24,46
"Mon, Jan 11, 2021",7:00p,Phoenix Suns,107,Washington Wizards,128,Box Score,,0,,1,71,78,25,34,20,22
"Mon, Jan 11, 2021",7:30p,Philadelphia 76ers,94,Atlanta Hawks,112,Box Score,,0,,1,72,78,20,43,15,34
"Mon, Jan 11, 2021",10:00p,Toronto Raptors,111,Portland Trail Blazers,112,Box Score,,0,,1,73,78,35,53,25,40
"Mon, Jan 11, 2021",10:00p,Indiana Pacers,122,Sacramento Kings,127,Box Score,,0,,1,74,78,31,45,21,32
"Tue, Jan 12, 2021",7:00p,Miami Heat,134,Philadelphia 76ers,137,Box Score,OT,0,,1,75,78,43,44,34,35
"Tue, Jan 12, 2021",7:30p,Denver Nuggets,116,Brooklyn Nets,122,Box Score,,0,,1,76,78,35,46,25,38
"Tue, Jan 12, 2021",7:30p,Utah Jazz,117,Cleveland Cavaliers,87,Box Score,,"1,944",,0,77,78,19,44,14,36
"Tue, Jan 12, 2021",8:00p,Los Angeles Lakers,117,Houston Rockets,100,Box Score,,"3,221",,0,77,79,44,52,34,41
"Tue, Jan 12, 2021",8:00p,San Antonio Spurs,112,Oklahoma City Thunder,102,Box Score,,0,,0,77,80,44,32,33,23
"Tue, Jan 12, 2021",10:30p,Indiana Pacers,104,Golden State Warriors,95,Box Score,,0,,0,77,81,15,45,12,32
"Wed, Jan 13, 2021",7:00p,Dallas Mavericks,104,Charlotte Hornets,93,Box Score,,0,,0,77,82,23,43,18,33
"Wed, Jan 13, 2021",7:00p,Milwaukee Bucks,110,Detroit Pistons,101,Box Score,,0,,0,77,83,20,56,19,46
"Wed, Jan 13, 2021",7:30p,Brooklyn Nets,116,New York Knicks,109,Box Score,,0,,0,77,84,21,35,17,25
"Wed, Jan 13, 2021",8:00p,Memphis Grizzlies,118,Minnesota Timberwolves,107,Box Score,,0,,0,77,85,19,34,16,28
"Wed, Jan 13, 2021",8:00p,Los Angeles Lakers,128,Oklahoma City Thunder,99,Box Score,,0,,0,77,86,44,52,33,41
"Wed, Jan 13, 2021",10:00p,New Orleans Pelicans,106,Los Angeles Clippers,111,Box Score,,0,,1,77,87,49,30,37,23
"Wed, Jan 13, 2021",10:00p,Portland Trail Blazers,132,Sacramento Kings,126,Box Score,,0,,0,78,87,31,35,21,25
"Thu, Jan 14, 2021",7:00p,Miami Heat,108,Philadelphia 76ers,125,Box Score,,0,,1,78,88,43,44,34,35
"Thu, Jan 14, 2021",7:30p,Houston Rockets,109,San Antonio Spurs,105,Box Score,,0,,0,79,88,32,44,23,34
"Thu, Jan 14, 2021",7:30p,Charlotte Hornets,108,Toronto Raptors,111,Box Score,,0,,1,79,89,53,23,40,18
"Thu, Jan 14, 2021",10:00p,Golden State Warriors,104,Denver Nuggets,114,Box Score,,0,,1,80,89,46,15,38,12
"Thu, Jan 14, 2021",10:00p,Indiana Pacers,111,Portland Trail Blazers,87,Box Score,,0,,0,81,89,35,45,25,32
"Fri, Jan 15, 2021",7:30p,Orlando Magic,97,Boston Celtics,124,Box Score,,0,,1,81,90,48,33,38,24
"Fri, Jan 15, 2021",7:30p,New York Knicks,103,Cleveland Cavaliers,106,Box Score,,"1,944",,1,82,90,19,21,14,17
"Fri, Jan 15, 2021",7:30p,Dallas Mavericks,109,Milwaukee Bucks,112,Box Score,,0,,1,83,90,56,43,46,33
"Fri, Jan 15, 2021",8:00p,Chicago Bulls,125,Oklahoma City Thunder,127,Box Score,OT,0,,1,84,90,44,22,33,19
"Fri, Jan 15, 2021",9:00p,Atlanta Hawks,92,Utah Jazz,116,Box Score,,"1,932",,1,85,90,44,20,36,15
"Fri, Jan 15, 2021",10:00p,New Orleans Pelicans,95,Los Angeles Lakers,112,Box Score,,0,,1,86,90,52,30,41,23
"Fri, Jan 15, 2021",10:00p,Los Angeles Clippers,138,Sacramento Kings,100,Box Score,,0,,0,87,90,31,49,21,37
"Sat, Jan 16, 2021",5:00p,Houston Rockets,91,San Antonio Spurs,103,Box Score,,0,,1,87,91,32,44,23,34
"Sat, Jan 16, 2021",6:00p,Orlando Magic,115,Brooklyn Nets,122,Box Score,,0,,1,88,91,35,33,25,24
"Sat, Jan 16, 2021",7:30p,Charlotte Hornets,113,Toronto Raptors,116,Box Score,,0,,1,89,91,53,23,40,18
"Sat, Jan 16, 2021",8:00p,Philadelphia 76ers,104,Memphis Grizzlies,106,Box Score,,206,,1,90,91,34,43,28,34
"Sat, Jan 16, 2021",8:00p,Detroit Pistons,120,Miami Heat,100,Box Score,,0,,0,91,91,44,20,35,19
"Sat, Jan 16, 2021",10:00p,Atlanta Hawks,106,Portland Trail Blazers,112,Box Score,,0,,1,91,92,35,20,25,15
"Sun, Jan 17, 2021",1:00p,New York Knicks,105,Boston Celtics,75,Box Score,,0,,0,92,92,48,21,38,17
"Sun, Jan 17, 2021",3:00p,Chicago Bulls,117,Dallas Mavericks,101,Box Score,,0,,0,92,93,43,22,33,19
"Sun, Jan 17, 2021",8:00p,Utah Jazz,109,Denver Nuggets,105,Box Score,,0,,0,92,94,46,44,38,36
"Sun, Jan 17, 2021",9:00p,New Orleans Pelicans,128,Sacramento Kings,123,Box Score,,0,,0,92,95,31,30,21,23
"Sun, Jan 17, 2021",10:00p,Indiana Pacers,96,Los Angeles Clippers,129,Box Score,,0,,1,92,96,49,45,37,32
"Mon, Jan 18, 2021",12:00p,Orlando Magic,84,New York Knicks,91,Box Score,,0,,1,93,96,21,33,17,24
"Mon, Jan 18, 2021",2:30p,Minnesota Timberwolves,97,Atlanta Hawks,108,Box Score,,0,,1,94,96,20,19,15,16
"Mon, Jan 18, 2021",3:00p,San Antonio Spurs,125,Portland Trail Blazers,104,Box Score,,0,,0,95,96,35,32,25,23
"Mon, Jan 18, 2021",5:00p,Phoenix Suns,104,Memphis Grizzlies,108,Box Score,,204,,1,95,97,34,34,28,22
"Mon, Jan 18, 2021",7:30p,Milwaukee Bucks,123,Brooklyn Nets,125,Box Score,,0,,1,96,97,35,56,25,46
"Mon, Jan 18, 2021",7:30p,Dallas Mavericks,93,Toronto Raptors,116,Box Score,,0,,1,97,97,53,43,40,33
"Mon, Jan 18, 2021",8:00p,Houston Rockets,120,Chicago Bulls,125,Box Score,,0,,1,98,97,22,44,19,34
"Mon, Jan 18, 2021",8:00p,Detroit Pistons,107,Miami Heat,113,Box Score,,0,,1,99,97,44,20,35,19
"Mon, Jan 18, 2021",10:00p,Golden State Warriors,115,Los Angeles Lakers,113,Box Score,,0,,0,100,97,52,15,41,12
"Tue, Jan 19, 2021",9:00p,Oklahoma City Thunder,101,Denver Nuggets,119,Box Score,,0,,1,100,98,46,44,38,33
"Tue, Jan 19, 2021",9:00p,New Orleans Pelicans,102,Utah Jazz,118,Box Score,,"1,932",,1,101,98,44,30,36,23
"Wed, Jan 20, 2021",7:00p,Brooklyn Nets,135,Cleveland Cavaliers,147,Box Score,2OT,"1,944",,1,102,98,19,35,14,25
"Wed, Jan 20, 2021",7:00p,Dallas Mavericks,124,Indiana Pacers,112,Box Score,,0,,0,103,98,45,43,32,33
